#=====================================================
# File created:        Sun-26-Oct-2025-at-07-08-21PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.709242
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -386.1618  0.2562 
   00001    0.7025    -575.4212  0.2999 
   00002    0.5875    -735.1291  0.3254 
   00003    0.5625    -824.4746  0.3301 
   00004    0.5275    -895.9801  0.3026 
   00005    0.5300    -954.2745  0.3222 
   00006    0.5025    -990.0271  0.3204 
   00007    0.4600    -999.9388  0.3242 
   00008    0.4925   -1055.6777  0.3495 
   00009    0.4200   -1083.3113  0.3364 
   00010    0.4775   -1082.7313  0.3396 
   00011    0.4150   -1101.2355  0.3372 
   00012    0.4725   -1089.2823  0.3626 
   00013    0.4700   -1112.6167  0.3827 
   00014    0.4625   -1136.9322  0.3759 
   00015    0.4375   -1170.7555  0.3791 
   00016    0.4450   -1152.0427  0.3954 
   00017    0.4150   -1161.4898  0.4033 
   00018    0.4425   -1160.3495  0.3948 
   00019    0.4050   -1177.0252  0.4019 
   00020    0.4525   -1181.0511  0.4005 
   00021    0.4175   -1185.8011  0.4022 
   00022    0.4225   -1168.9620  0.4090 
   00023    0.4450   -1177.3888  0.4108 
   00024    0.4650   -1174.6914  0.4333 
   00025    0.4300   -1167.2408  0.4400 
   00026    0.4600   -1157.3774  0.4338 
   00027    0.4475   -1157.3766  0.4394 
   00028    0.4200   -1147.6603  0.4328 
   00029    0.4325   -1164.3117  0.4326 
   00030    0.4550   -1153.9238  0.4249 
   00031    0.4800   -1149.6169  0.4170 
   00032    0.4450   -1157.2040  0.4127 
   00033    0.4475   -1162.4277  0.4082 
   00034    0.4400   -1170.6040  0.4189 
   00035    0.4400   -1188.0096  0.4177 
   00036    0.4350   -1174.3201  0.4294 
   00037    0.4075   -1174.1526  0.4201 
   00038    0.4175   -1193.7965  0.4105 
   00039    0.4150   -1176.9113  0.3954 
   00040    0.4650   -1169.2720  0.4087 
   00041    0.4375   -1156.2539  0.4206 
   00042    0.4150   -1153.7429  0.4284 
   00043    0.4650   -1148.3685  0.4232 
   00044    0.4375   -1175.0593  0.4051 
   00045    0.4075   -1142.2467  0.3835 
   00046    0.4325   -1160.0019  0.4070 
   00047    0.4625   -1160.9766  0.4190 
   00048    0.4825   -1124.9350  0.4331 
   00049    0.4300   -1144.0093  0.4524 
   00050    0.4500   -1170.0366  0.4790 
   00051    0.4450   -1190.0753  0.4599 
   00052    0.4575   -1189.1042  0.4387 
   00053    0.4075   -1201.1128  0.4628 
   00054    0.4375   -1199.6941  0.4356 
   00055    0.4450   -1217.8631  0.4201 
   00056    0.4575   -1196.3374  0.4251 
   00057    0.4275   -1187.6635  0.4061 
   00058    0.3900   -1199.4440  0.4057 
   00059    0.4700   -1208.9136  0.4232 
   00060    0.3825   -1223.2071  0.4382 
   00061    0.4100   -1238.8652  0.4492 
   00062    0.3725   -1247.9563  0.4338 
   00063    0.3850   -1249.0659  0.4263 
   00064    0.3900   -1265.2974  0.4385 
   00065    0.4050   -1255.2087  0.4479 
   00066    0.4100   -1257.7978  0.4530 
   00067    0.4025   -1250.3495  0.4526 
   00068    0.3925   -1241.3791  0.4482 
   00069    0.4125   -1259.8013  0.4353 
   00070    0.4250   -1244.3001  0.4396 
   00071    0.4225   -1271.7427  0.4460 
   00072    0.4100   -1252.0410  0.4454 
   00073    0.4025   -1239.6228  0.4725 
   00074    0.3825   -1214.4722  0.4984 
   00075    0.4075   -1207.3521  0.5266 
   00076    0.3875   -1192.9415  0.5385 
   00077    0.4400   -1217.0802  0.5514 
   00078    0.4025   -1224.1718  0.5359 
   00079    0.4750   -1221.4493  0.5302 
   00080    0.3525   -1242.6182  0.5319 
   00081    0.3775   -1260.8856  0.5472 
   00082    0.4075   -1236.8289  0.5517 
   00083    0.3925   -1230.5491  0.5470 
   00084    0.4400   -1236.0124  0.5493 
   00085    0.4000   -1246.7089  0.5411 
   00086    0.3975   -1246.1518  0.5431 
   00087    0.3975   -1225.7883  0.5510 
   00088    0.3875   -1266.8918  0.5536 
   00089    0.4325   -1255.3961  0.5497 
   00090    0.4425   -1219.9055  0.5632 
   00091    0.3875   -1210.5227  0.5700 
   00092    0.4175   -1212.3608  0.5666 
   00093    0.4200   -1229.5363  0.5589 
   00094    0.4050   -1202.6218  0.5660 
   00095    0.4525   -1212.6468  0.5635 
   00096    0.4175   -1214.7323  0.5582 
   00097    0.4200   -1226.4000  0.5501 
   00098    0.4375   -1225.3085  0.5508 
   00099    0.4225   -1205.9649  0.5231 
   00100    0.4000   -1202.9187  0.5183 
   00101    0.4575   -1195.5975  0.5062 
   00102    0.4800   -1179.9849  0.5237 
   00103    0.3850   -1224.6945  0.5219 
   00104    0.4325   -1226.3885  0.5129 
   00105    0.4675   -1223.4569  0.5139 
   00106    0.3950   -1214.1586  0.5099 
   00107    0.3575   -1222.2058  0.5037 
   00108    0.4075   -1233.8487  0.5072 
   00109    0.4100   -1218.0525  0.4880 
   00110    0.4575   -1223.1458  0.5105 
   00111    0.4050   -1233.9545  0.5112 
   00112    0.4125   -1224.0403  0.5265 
   00113    0.4350   -1234.8872  0.5428 
   00114    0.3725   -1236.1835  0.5377 
   00115    0.4125   -1241.9756  0.5480 
   00116    0.4300   -1222.8720  0.5386 
   00117    0.4350   -1226.7223  0.5275 
   00118    0.3775   -1213.6223  0.5275 
   00119    0.4450   -1210.2235  0.5491 
   00120    0.4225   -1223.0090  0.5283 
   00121    0.4250   -1227.5403  0.5094 
   00122    0.3725   -1223.6073  0.5150 
   00123    0.4025   -1231.5398  0.5197 
   00124    0.4275   -1218.9375  0.5387 
   00125    0.3800   -1217.7101  0.5386 
   00126    0.3925   -1193.4243  0.5287 
   00127    0.4525   -1188.1313  0.5256 
   00128    0.4150   -1215.9384  0.5400 
   00129    0.4400   -1229.6614  0.5469 
   00130    0.4800   -1217.0077  0.5450 
   00131    0.4325   -1215.2584  0.5409 
   00132    0.4350   -1226.2366  0.5458 
   00133    0.4200   -1237.0663  0.5429 
   00134    0.4325   -1250.0914  0.5645 
   00135    0.4050   -1239.0817  0.5648 
   00136    0.4200   -1233.5071  0.5719 
   00137    0.4625   -1227.7933  0.5728 
   00138    0.4275   -1229.9190  0.5803 
   00139    0.4200   -1241.4328  0.5771 
   00140    0.4175   -1256.2684  0.5850 
   00141    0.4125   -1256.7440  0.5828 
   00142    0.4025   -1247.9741  0.5818 
   00143    0.3850   -1237.6061  0.5735 
   00144    0.4200   -1268.5383  0.5815 
   00145    0.3500   -1236.6528  0.5602 
   00146    0.4675   -1228.7880  0.5782 
   00147    0.4325   -1238.6602  0.5807 
   00148    0.3975   -1249.3816  0.5810 
   00149    0.3775   -1248.9036  0.5916 
   00150    0.3925   -1243.8825  0.5888 
   00151    0.3925   -1219.9373  0.5821 
   00152    0.4050   -1223.2252  0.5855 
   00153    0.3825   -1216.6248  0.5876 
   00154    0.4200   -1218.7700  0.5953 
   00155    0.4100   -1221.8273  0.5963 
   00156    0.4025   -1209.2175  0.5966 
   00157    0.4125   -1221.6198  0.5964 
   00158    0.4675   -1242.2885  0.6051 
   00159    0.3950   -1237.7608  0.5870 
   00160    0.3850   -1247.7194  0.5943 
   00161    0.4275   -1255.3341  0.5887 
   00162    0.4400   -1270.0166  0.6077 
   00163    0.3625   -1254.9058  0.6116 
   00164    0.3800   -1246.2114  0.6073 
   00165    0.4375   -1239.4754  0.6076 
   00166    0.3325   -1246.9339  0.6216 
   00167    0.4300   -1249.9614  0.6219 
   00168    0.3950   -1255.8450  0.6387 
   00169    0.4025   -1257.5252  0.6302 
   00170    0.4275   -1253.5138  0.6445 
   00171    0.3700   -1256.8125  0.6407 
   00172    0.4025   -1255.3699  0.6345 
   00173    0.4050   -1245.9979  0.6518 
   00174    0.3650   -1253.3487  0.6409 
   00175    0.3975   -1242.4493  0.6323 
   00176    0.4150   -1248.0789  0.6272 
   00177    0.4000   -1245.8108  0.6170 
   00178    0.3975   -1239.8699  0.6257 
   00179    0.4125   -1262.1129  0.6409 
   00180    0.4500   -1196.9290  0.6340 
   00181    0.4000   -1220.5470  0.6488 
   00182    0.4325   -1221.0530  0.6499 
   00183    0.3975   -1220.1797  0.6569 
   00184    0.4225   -1242.7821  0.6585 
   00185    0.4375   -1234.4364  0.6552 
   00186    0.4250   -1208.0988  0.6467 
