#=====================================================
# File created:        Mon-03-Nov-2025-at-08-57-45PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        9.280089
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -397.1653  0.3188 
   00001    0.7125    -520.7612  0.3294 
   00002    0.6107    -663.9167  0.3334 
   00003    0.6000    -733.1113  0.3405 
   00004    0.5500    -807.0330  0.3503 
   00005    0.5411    -893.1001  0.3691 
   00006    0.4911    -883.2778  0.3984 
   00007    0.5339    -903.0454  0.3986 
   00008    0.4964    -915.4829  0.3845 
   00009    0.4804    -943.1343  0.3627 
   00010    0.4125    -939.0384  0.3467 
   00011    0.4839    -928.4624  0.3313 
   00012    0.5018    -932.0934  0.3437 
   00013    0.4482    -956.9951  0.3875 
   00014    0.4732    -960.0180  0.4133 
   00015    0.4661    -988.3765  0.4346 
   00016    0.4482   -1026.1189  0.4360 
   00017    0.4786   -1009.7901  0.4529 
   00018    0.4589   -1028.3846  0.4669 
   00019    0.4500   -1044.9890  0.4816 
   00020    0.4607   -1033.9580  0.4809 
   00021    0.4857   -1063.5637  0.4823 
   00022    0.4589   -1088.6865  0.4707 
   00023    0.4696   -1089.6559  0.4506 
   00024    0.5018   -1080.6296  0.4497 
   00025    0.4500   -1084.4686  0.4464 
   00026    0.4536   -1101.1026  0.4639 
   00027    0.4964   -1077.8981  0.4741 
   00028    0.4232   -1086.1407  0.4867 
   00029    0.4268   -1117.7912  0.5184 
   00030    0.4857   -1110.5185  0.5264 
   00031    0.4286   -1098.0154  0.5281 
   00032    0.4500   -1115.2595  0.5144 
   00033    0.4446   -1114.8657  0.5270 
   00034    0.4232   -1116.9063  0.5349 
   00035    0.4429   -1120.3354  0.5416 
   00036    0.4518   -1138.8396  0.5408 
   00037    0.4554   -1148.0687  0.5429 
   00038    0.4250   -1152.4202  0.5502 
   00039    0.4232   -1137.2250  0.5389 
   00040    0.3982   -1137.5817  0.5397 
   00041    0.4446   -1123.1617  0.5521 
   00042    0.4768   -1111.7831  0.5753 
   00043    0.4500   -1142.2112  0.5867 
   00044    0.3964   -1128.5076  0.5891 
   00045    0.4500   -1143.9385  0.5844 
   00046    0.4357   -1151.6224  0.5934 
   00047    0.4411   -1165.7190  0.6127 
   00048    0.4304   -1140.3098  0.5975 
   00049    0.4446   -1152.7026  0.6090 
   00050    0.4321   -1151.2984  0.6131 
   00051    0.4411   -1168.7492  0.6133 
   00052    0.4161   -1158.5140  0.6141 
   00053    0.4643   -1158.9116  0.6161 
   00054    0.4536   -1191.1680  0.6298 
   00055    0.4036   -1183.5052  0.6344 
   00056    0.4446   -1189.5540  0.6431 
   00057    0.4661   -1201.2996  0.6571 
   00058    0.4286   -1207.9138  0.6645 
   00059    0.4089   -1191.8571  0.6513 
   00060    0.4304   -1212.7084  0.6529 
   00061    0.4268   -1224.4314  0.6443 
   00062    0.4482   -1210.3819  0.6453 
   00063    0.4089   -1223.0210  0.6553 
   00064    0.4196   -1185.8160  0.6696 
   00065    0.4339   -1173.6031  0.6782 
   00066    0.4339   -1175.2984  0.6839 
   00067    0.4357   -1167.4967  0.6839 
   00068    0.4179   -1201.3895  0.6771 
   00069    0.4446   -1206.0526  0.6647 
   00070    0.4304   -1200.6756  0.6598 
   00071    0.4518   -1181.8482  0.6584 
   00072    0.4357   -1163.5369  0.6485 
   00073    0.4375   -1199.2792  0.6585 
   00074    0.4554   -1186.7458  0.6532 
   00075    0.4607   -1209.2677  0.6845 
   00076    0.4482   -1204.7553  0.6939 
   00077    0.4357   -1206.9208  0.6892 
   00078    0.4018   -1223.6368  0.6990 
   00079    0.4286   -1213.6475  0.7017 
   00080    0.4107   -1203.4231  0.6983 
   00081    0.4143   -1208.2627  0.7094 
   00082    0.4339   -1210.9538  0.7101 
   00083    0.4107   -1211.8149  0.7051 
   00084    0.4071   -1178.1367  0.6999 
   00085    0.4196   -1174.5134  0.6975 
   00086    0.4750   -1165.6213  0.7054 
   00087    0.4089   -1169.4957  0.6867 
   00088    0.4321   -1175.7700  0.6849 
   00089    0.4321   -1182.8638  0.6886 
   00090    0.3929   -1176.6102  0.7118 
   00091    0.4393   -1187.7588  0.7247 
   00092    0.4161   -1189.3782  0.7232 
   00093    0.4179   -1191.7089  0.7147 
   00094    0.4393   -1210.3754  0.7094 
   00095    0.3982   -1215.8065  0.7176 
   00096    0.4464   -1218.0626  0.7290 
   00097    0.4375   -1201.9166  0.7129 
   00098    0.4250   -1212.4009  0.7083 
   00099    0.4161   -1212.1797  0.7145 
