#=====================================================
# File created:        Sun-26-Oct-2025-at-07-07-45PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.586689
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -401.8422  0.2707 
   00001    0.7350    -551.4703  0.2748 
   00002    0.7050    -646.4684  0.2581 
   00003    0.7175    -756.0752  0.2656 
   00004    0.6375    -817.9766  0.2664 
   00005    0.6325    -861.1650  0.2610 
   00006    0.6400    -889.7908  0.2772 
   00007    0.6250    -941.5475  0.2808 
   00008    0.6150    -988.0975  0.2672 
   00009    0.5875    -993.0440  0.2831 
   00010    0.5925   -1008.0525  0.2821 
   00011    0.5900   -1015.5173  0.2615 
   00012    0.6025   -1041.2429  0.2721 
   00013    0.6050   -1071.6480  0.2828 
   00014    0.5675   -1091.8471  0.2731 
   00015    0.5525   -1069.2935  0.2756 
   00016    0.5475   -1040.2566  0.2972 
   00017    0.5625   -1089.2360  0.2762 
   00018    0.5250   -1094.8553  0.2699 
   00019    0.5525   -1102.6508  0.2620 
   00020    0.5700   -1103.5473  0.2659 
   00021    0.6075   -1138.8873  0.2771 
   00022    0.5525   -1136.4483  0.3043 
   00023    0.5550   -1131.5473  0.3103 
   00024    0.5900   -1139.4738  0.3099 
   00025    0.5675   -1121.7367  0.3165 
   00026    0.5800   -1134.7420  0.3404 
   00027    0.5450   -1148.3389  0.3464 
   00028    0.5350   -1159.6736  0.3635 
   00029    0.5250   -1165.5067  0.3854 
   00030    0.5000   -1180.5707  0.4097 
   00031    0.5325   -1190.3372  0.4213 
   00032    0.5400   -1188.0786  0.4223 
   00033    0.5450   -1192.3663  0.4344 
   00034    0.5625   -1185.8851  0.4054 
   00035    0.5275   -1193.3569  0.4221 
   00036    0.5425   -1199.1241  0.4029 
   00037    0.5375   -1240.0726  0.4148 
   00038    0.5225   -1208.1887  0.4102 
   00039    0.5400   -1217.7085  0.4303 
   00040    0.5450   -1246.5053  0.4180 
   00041    0.5050   -1233.6475  0.4172 
   00042    0.4950   -1231.8944  0.4128 
   00043    0.4875   -1242.9110  0.4248 
   00044    0.5800   -1242.3621  0.4224 
   00045    0.5550   -1223.3960  0.4292 
   00046    0.5250   -1222.4509  0.4392 
   00047    0.4775   -1221.6593  0.4126 
   00048    0.5175   -1213.7216  0.3960 
   00049    0.5025   -1213.6070  0.3946 
   00050    0.5275   -1208.6505  0.3848 
