#=====================================================
# File created:        Mon-03-Nov-2025-at-09-12-19PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        2.579831
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -391.6698  0.2674 
   00001    0.3450    -653.2813  0.3117 
   00002    0.3050    -784.8028  0.3273 
   00003    0.2650    -876.8848  0.3591 
   00004    0.2638    -933.4933  0.3500 
   00005    0.2575    -961.2894  0.3725 
   00006    0.2338   -1034.1067  0.4051 
   00007    0.2400   -1067.4247  0.4149 
   00008    0.2388   -1122.5589  0.4494 
   00009    0.2487   -1127.8151  0.4361 
   00010    0.2288   -1150.0690  0.4394 
   00011    0.2112   -1129.7658  0.4281 
   00012    0.2062   -1157.1408  0.4309 
   00013    0.2150   -1186.8899  0.4514 
   00014    0.2275   -1216.4908  0.4693 
   00015    0.2050   -1190.6600  0.4814 
   00016    0.2275   -1184.6646  0.4879 
   00017    0.2162   -1169.5041  0.4996 
   00018    0.2400   -1179.4369  0.5100 
   00019    0.2137   -1202.5154  0.5362 
   00020    0.2150   -1193.7139  0.5526 
   00021    0.2012   -1224.5797  0.5707 
   00022    0.2025   -1234.4477  0.5717 
   00023    0.2062   -1236.9232  0.5742 
   00024    0.1925   -1223.8861  0.5589 
   00025    0.2012   -1219.4557  0.5695 
   00026    0.1937   -1222.7770  0.5565 
   00027    0.2025   -1220.5545  0.5647 
   00028    0.2225   -1235.8186  0.5579 
   00029    0.2225   -1249.1553  0.5496 
   00030    0.2137   -1253.1301  0.5384 
   00031    0.2087   -1259.7383  0.5452 
   00032    0.1900   -1237.6694  0.5360 
   00033    0.1875   -1225.8814  0.5122 
   00034    0.1975   -1244.5566  0.5403 
   00035    0.1900   -1242.3123  0.5609 
   00036    0.1888   -1243.3402  0.5625 
   00037    0.2200   -1234.3750  0.5608 
   00038    0.1975   -1227.6356  0.5525 
   00039    0.2200   -1260.1375  0.5826 
   00040    0.2125   -1249.1794  0.5697 
   00041    0.1825   -1271.5833  0.5836 
   00042    0.1762   -1243.0276  0.5742 
   00043    0.2112   -1233.0881  0.5654 
   00044    0.2162   -1230.1055  0.5733 
   00045    0.1938   -1250.9704  0.5836 
   00046    0.2062   -1236.9996  0.5948 
   00047    0.2012   -1252.6924  0.6201 
   00048    0.2025   -1241.7089  0.6009 
   00049    0.2125   -1255.7947  0.5969 
   00050    0.1875   -1255.7389  0.5919 
   00051    0.2000   -1251.5343  0.5983 
   00052    0.2087   -1221.9140  0.5842 
   00053    0.2012   -1228.6632  0.5965 
   00054    0.2000   -1246.7803  0.5961 
   00055    0.1875   -1275.6230  0.6100 
   00056    0.1938   -1236.8670  0.6106 
   00057    0.2137   -1252.9150  0.6034 
   00058    0.1850   -1236.9475  0.6258 
   00059    0.2037   -1246.8805  0.6169 
   00060    0.2100   -1273.5993  0.6291 
   00061    0.2012   -1265.2382  0.6452 
   00062    0.1950   -1270.4122  0.6262 
   00063    0.2175   -1256.9142  0.6291 
   00064    0.1875   -1234.6728  0.6416 
   00065    0.1912   -1235.6800  0.6412 
   00066    0.2087   -1232.3656  0.6524 
   00067    0.1987   -1229.3792  0.6400 
   00068    0.2275   -1245.2195  0.6546 
   00069    0.2112   -1255.1223  0.6639 
   00070    0.2012   -1248.1709  0.6679 
   00071    0.2175   -1251.6760  0.6600 
   00072    0.2075   -1240.2804  0.6857 
   00073    0.1850   -1262.4259  0.6888 
   00074    0.1838   -1244.5184  0.6742 
   00075    0.2162   -1236.5458  0.6745 
   00076    0.2125   -1263.9370  0.6823 
   00077    0.1913   -1258.4985  0.6801 
   00078    0.2125   -1276.0016  0.7072 
   00079    0.1950   -1279.5598  0.7044 
   00080    0.2075   -1277.8879  0.7126 
   00081    0.2000   -1271.5394  0.7068 
   00082    0.2012   -1268.9800  0.6959 
   00083    0.2263   -1295.1990  0.7063 
   00084    0.2025   -1270.6957  0.7183 
   00085    0.2188   -1296.1078  0.7183 
   00086    0.1900   -1290.7589  0.7040 
   00087    0.1975   -1264.2739  0.6891 
   00088    0.1988   -1258.7338  0.6771 
   00089    0.1875   -1259.7892  0.6685 
   00090    0.1900   -1281.0460  0.6701 
   00091    0.2100   -1262.9594  0.6739 
   00092    0.2100   -1260.9024  0.6576 
   00093    0.1875   -1275.8716  0.6614 
   00094    0.2025   -1268.9434  0.6587 
   00095    0.2012   -1251.6695  0.6376 
   00096    0.2162   -1242.0401  0.6558 
   00097    0.2075   -1270.9594  0.6771 
   00098    0.1888   -1270.2221  0.6807 
   00099    0.2000   -1262.2293  0.6944 
   00100    0.1950   -1287.3011  0.7071 
   00101    0.2075   -1269.3644  0.6948 
   00102    0.1975   -1248.0253  0.6888 
   00103    0.2000   -1267.9970  0.6884 
   00104    0.1963   -1257.3530  0.6825 
   00105    0.2112   -1252.1299  0.6948 
   00106    0.2025   -1265.6344  0.6949 
   00107    0.1950   -1264.1536  0.7230 
   00108    0.2025   -1254.3083  0.7251 
   00109    0.1900   -1274.0816  0.7295 
   00110    0.1975   -1271.5697  0.7335 
   00111    0.2175   -1295.1331  0.7554 
   00112    0.1800   -1285.7478  0.7393 
   00113    0.1900   -1283.8822  0.7358 
   00114    0.2075   -1293.3982  0.7411 
   00115    0.1850   -1305.6828  0.7494 
   00116    0.1862   -1311.8175  0.7465 
   00117    0.2050   -1304.1735  0.7385 
   00118    0.2037   -1323.7537  0.7608 
   00119    0.1862   -1322.0711  0.7461 
   00120    0.2150   -1301.5616  0.7424 
   00121    0.1787   -1303.1729  0.7383 
   00122    0.2050   -1267.1113  0.7221 
   00123    0.2112   -1299.2033  0.7373 
   00124    0.1750   -1273.2329  0.7290 
   00125    0.2125   -1254.7582  0.7292 
   00126    0.1925   -1277.8984  0.7290 
   00127    0.2000   -1276.2341  0.7550 
   00128    0.1837   -1288.5032  0.7674 
   00129    0.1812   -1284.8090  0.7725 
   00130    0.1950   -1246.3104  0.7531 
   00131    0.1913   -1242.1990  0.7727 
   00132    0.1987   -1286.9571  0.7805 
   00133    0.2162   -1289.3455  0.7847 
   00134    0.1813   -1276.6417  0.7711 
   00135    0.2000   -1277.3362  0.7627 
   00136    0.1975   -1277.1884  0.7572 
   00137    0.2150   -1312.2881  0.7655 
   00138    0.1875   -1295.7895  0.7548 
   00139    0.1938   -1298.8535  0.7463 
   00140    0.2137   -1288.5356  0.7611 
   00141    0.2062   -1271.4054  0.7543 
   00142    0.1812   -1293.9573  0.7687 
   00143    0.2263   -1295.8998  0.7679 
   00144    0.2112   -1304.5567  0.7675 
   00145    0.2013   -1313.5138  0.7743 
   00146    0.1875   -1277.1896  0.7654 
   00147    0.1987   -1243.4911  0.7622 
   00148    0.1837   -1263.4345  0.7620 
   00149    0.2012   -1283.4330  0.7534 
   00150    0.1888   -1287.7047  0.7537 
   00151    0.2037   -1289.4670  0.7483 
   00152    0.2025   -1318.6491  0.7656 
   00153    0.1788   -1297.5988  0.7556 
   00154    0.2213   -1295.2491  0.7629 
   00155    0.1988   -1301.9635  0.7699 
   00156    0.1987   -1271.5147  0.7660 
   00157    0.1912   -1274.7743  0.7683 
   00158    0.2100   -1293.7000  0.7833 
   00159    0.1813   -1289.5774  0.7894 
   00160    0.1862   -1285.4219  0.7981 
   00161    0.1862   -1293.3727  0.7910 
   00162    0.2050   -1270.8577  0.7822 
   00163    0.1763   -1252.9395  0.7692 
   00164    0.1913   -1261.0057  0.7605 
   00165    0.2100   -1265.5231  0.7731 
   00166    0.1837   -1281.1951  0.7642 
   00167    0.1950   -1279.4601  0.7796 
   00168    0.1900   -1272.9097  0.7731 
   00169    0.1962   -1270.5418  0.7654 
   00170    0.2188   -1275.7968  0.7702 
   00171    0.2000   -1292.4725  0.7798 
   00172    0.1938   -1278.1896  0.7806 
   00173    0.1925   -1239.6418  0.7491 
   00174    0.2200   -1259.5987  0.7661 
   00175    0.1850   -1266.4372  0.7790 
   00176    0.2012   -1299.8597  0.7919 
   00177    0.1912   -1310.9020  0.7970 
   00178    0.1987   -1312.6511  0.7919 
   00179    0.2000   -1317.3765  0.7821 
   00180    0.1850   -1299.0239  0.7899 
   00181    0.1937   -1278.7029  0.7844 
   00182    0.2112   -1293.9393  0.7760 
   00183    0.2037   -1281.1421  0.7470 
   00184    0.2037   -1277.6020  0.7412 
   00185    0.1963   -1270.1940  0.7439 
   00186    0.2125   -1257.5431  0.7436 
   00187    0.2062   -1303.3629  0.7514 
   00188    0.1975   -1267.0420  0.7341 
   00189    0.1862   -1239.7026  0.7296 
   00190    0.2162   -1236.9027  0.7277 
   00191    0.2125   -1222.6533  0.7037 
   00192    0.2175   -1242.9770  0.7129 
   00193    0.1950   -1253.6017  0.7093 
   00194    0.1950   -1245.2147  0.7091 
   00195    0.1900   -1263.7344  0.7383 
   00196    0.2087   -1243.6838  0.7455 
   00197    0.2000   -1248.3996  0.7428 
   00198    0.2062   -1244.8696  0.7573 
   00199    0.2162   -1268.4178  0.7629 
   00200    0.1888   -1277.0900  0.7537 
   00201    0.1850   -1277.1662  0.7685 
   00202    0.2238   -1230.6810  0.7639 
   00203    0.1988   -1241.6922  0.7684 
   00204    0.2162   -1253.2260  0.7882 
   00205    0.2037   -1283.4415  0.7935 
   00206    0.2125   -1277.4948  0.7849 
   00207    0.2162   -1263.5327  0.7811 
   00208    0.1962   -1280.6169  0.7971 
   00209    0.1975   -1270.4084  0.8026 
   00210    0.1788   -1274.4717  0.8072 
   00211    0.2025   -1279.1907  0.8143 
   00212    0.2150   -1279.5045  0.8138 
   00213    0.2137   -1277.3604  0.8132 
   00214    0.1925   -1296.6252  0.8262 
   00215    0.1950   -1272.5136  0.8216 
   00216    0.2225   -1285.3542  0.8237 
   00217    0.2162   -1262.5645  0.8056 
   00218    0.2062   -1267.0526  0.7846 
   00219    0.1925   -1265.8742  0.7964 
   00220    0.2087   -1244.4354  0.7922 
   00221    0.2012   -1273.1141  0.7966 
   00222    0.1900   -1274.8537  0.8065 
   00223    0.1838   -1286.3970  0.8137 
   00224    0.2013   -1258.1091  0.8075 
   00225    0.1913   -1267.3662  0.8136 
   00226    0.2112   -1290.3084  0.8170 
   00227    0.1962   -1275.8083  0.8093 
   00228    0.2112   -1266.7761  0.8058 
   00229    0.2000   -1257.3511  0.8047 
   00230    0.1987   -1256.6005  0.7987 
   00231    0.1900   -1277.0930  0.8049 
   00232    0.2025   -1282.7464  0.8036 
   00233    0.1900   -1266.6748  0.7984 
   00234    0.1900   -1283.8977  0.7962 
   00235    0.2087   -1298.1622  0.8041 
   00236    0.1900   -1310.7422  0.8083 
   00237    0.1913   -1315.8775  0.7989 
   00238    0.1987   -1302.1472  0.7964 
   00239    0.1975   -1293.1991  0.7932 
   00240    0.1988   -1287.0600  0.7893 
   00241    0.2225   -1263.0101  0.7944 
   00242    0.1950   -1284.9059  0.7971 
   00243    0.2012   -1284.8469  0.8052 
   00244    0.1963   -1297.3222  0.8056 
   00245    0.1925   -1283.9938  0.7957 
   00246    0.1925   -1282.6986  0.7851 
   00247    0.1788   -1292.0443  0.7796 
