#=====================================================
# File created:        Sun-26-Oct-2025-at-07-06-48PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        8.610912
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -404.8277  0.2826 
   00001    0.6700    -605.6109  0.2878 
   00002    0.6350    -710.6126  0.2928 
   00003    0.5825    -760.6407  0.2904 
   00004    0.5925    -836.2822  0.2834 
   00005    0.4950    -917.2115  0.2685 
   00006    0.5025    -953.5473  0.2803 
   00007    0.4825    -966.0586  0.2654 
   00008    0.4650   -1008.1704  0.2796 
   00009    0.4725   -1047.4873  0.2871 
   00010    0.4875   -1028.0910  0.2870 
   00011    0.4925   -1030.9484  0.2690 
   00012    0.4325   -1036.3646  0.2665 
   00013    0.4750   -1033.3844  0.2618 
   00014    0.5150   -1029.7328  0.2897 
   00015    0.4850   -1030.9969  0.2930 
   00016    0.4825   -1047.5986  0.3002 
   00017    0.4250   -1091.6982  0.2847 
   00018    0.5125   -1092.9909  0.2978 
   00019    0.4675   -1130.7641  0.2916 
   00020    0.4625   -1122.0231  0.2979 
   00021    0.4525   -1159.8634  0.3104 
   00022    0.3675   -1146.6100  0.2981 
   00023    0.4100   -1168.3625  0.2981 
   00024    0.4175   -1172.9716  0.2991 
   00025    0.4425   -1164.5376  0.3111 
   00026    0.4075   -1156.8446  0.3272 
   00027    0.4375   -1164.5086  0.3320 
   00028    0.4375   -1151.0605  0.3550 
   00029    0.4050   -1163.5925  0.3603 
   00030    0.4075   -1173.8203  0.3438 
   00031    0.4400   -1172.5139  0.3473 
   00032    0.4175   -1169.3505  0.3463 
   00033    0.4675   -1170.3307  0.3530 
   00034    0.4275   -1168.6260  0.3429 
   00035    0.4450   -1176.3326  0.3411 
   00036    0.4500   -1162.4990  0.3536 
   00037    0.4425   -1146.1705  0.3531 
   00038    0.4825   -1161.1263  0.3692 
   00039    0.4125   -1163.8752  0.3521 
   00040    0.4125   -1177.4877  0.3539 
   00041    0.4525   -1179.0117  0.3347 
   00042    0.4625   -1167.8385  0.3375 
   00043    0.4425   -1173.1659  0.3289 
   00044    0.4600   -1165.0881  0.2934 
   00045    0.4250   -1167.0997  0.3042 
   00046    0.4475   -1159.0325  0.3265 
   00047    0.4125   -1138.5382  0.3195 
   00048    0.4375   -1180.7212  0.2960 
   00049    0.4050   -1182.8019  0.2941 
   00050    0.4725   -1185.6766  0.3019 
